City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Grootfontein,NA,-19.5667,18.1167,35.17,51,0,3.44,clear sky
266,Pisco,PE,-13.7,-76.2167,59.05,88,75,2.3,mist
267,Strathmore,CA,51.0501,-113.3852,67.41,67,92,4.61,overcast clouds
268,Vikevag,NO,59.0976,5.6969,51.89,88,79,11.43,broken clouds
269,Dongsheng,CN,39.8161,109.9776,68.49,54,100,10.58,overcast clouds
270,Liuzhou,CN,24.3126,109.3892,83.46,83,100,8.5,overcast clouds
271,Geraldton,AU,-28.7667,114.6,73.81,53,0,10.36,clear sky
272,Mmabatho,ZA,-25.85,25.6333,51.76,71,0,17.27,clear sky
273,Bukachacha,RU,52.9833,116.9167,71.92,42,58,6.73,broken clouds
274,Muncar,ID,-8.4333,114.3333,83.3,73,26,11.48,scattered clouds
275,College,US,64.8569,-147.8028,72.9,53,40,5.75,scattered clouds
276,Wad Rawah,SD,15.1603,33.1397,87.87,36,70,19.66,broken clouds
277,Husavik,IS,66.0449,-17.3389,46.78,78,39,10.69,scattered clouds
278,Tura,IN,25.5198,90.2201,84.6,67,43,5.37,scattered clouds
279,Bethel,US,41.3712,-73.414,64.49,93,100,0.0,light rain
280,Marzuq,YE,14.4,46.4667,91.42,17,94,4.34,overcast clouds
281,Ust-Ordynskiy,RU,52.805,104.7508,66.34,60,95,5.03,overcast clouds
282,Tocopilla,CL,-22.092,-70.1979,57.52,61,0,1.34,clear sky
283,Kavieng,PG,-2.5744,150.7967,82.98,71,74,3.76,broken clouds
284,Omboue,GA,-1.5746,9.2618,69.28,88,94,6.67,overcast clouds
285,Tshikapa,CD,-6.4167,20.8,74.89,52,80,1.36,broken clouds
286,Kailua,US,21.4022,-157.7394,80.58,80,100,9.22,light rain
287,Hannibal,US,39.7084,-91.3585,81.55,53,40,4.61,scattered clouds
288,Brufut,GM,13.3814,-16.7518,75.29,94,75,4.61,broken clouds
289,Santa Maria,BR,-29.6842,-53.8069,59.23,99,88,1.52,overcast clouds
290,Igrim,RU,63.1906,64.4162,67.21,79,98,7.54,overcast clouds
291,Camana,PE,-16.6228,-72.7111,60.51,81,62,7.36,broken clouds
292,Miranda De Ebro,ES,42.6865,-2.947,60.98,89,84,2.24,broken clouds
293,Pittsburg,US,38.028,-121.8847,89.56,27,0,8.05,clear sky
294,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,77,100,8.99,overcast clouds
295,San Patricio,US,28.017,-97.5169,84.88,77,21,12.53,few clouds
296,Lasa,IT,46.6166,10.7002,59.88,78,48,2.39,scattered clouds
297,Akdepe,TM,42.0551,59.3788,87.89,15,0,13.18,clear sky
298,Riyadh,SA,24.6877,46.7219,95.14,9,0,3.47,clear sky
299,Paamiut,GL,61.994,-49.6678,36.59,92,39,18.07,scattered clouds
300,Mahibadhoo,MV,3.7833,72.9667,83.34,74,100,9.84,overcast clouds
301,Mayumba,GA,-3.432,10.6554,69.4,87,82,5.5,broken clouds
302,Richards Bay,ZA,-28.783,32.0377,64.69,86,100,6.35,light rain
303,Mvuma,ZW,-19.2792,30.5283,44.62,94,0,6.38,clear sky
304,Gimli,CA,50.6336,-96.9907,55.42,82,100,4.61,overcast clouds
305,Nelson Bay,AU,-32.7167,152.15,63.1,55,1,8.01,clear sky
306,Belaya Gora,RU,68.5333,146.4167,69.15,30,100,14.65,overcast clouds
307,Nombre De Dios,MX,23.85,-104.2333,77.56,26,48,16.04,scattered clouds
308,Rawson,AR,-43.3002,-65.1023,34.27,60,3,9.46,clear sky
309,Ahuimanu,US,21.4447,-157.8378,80.31,77,100,14.97,light rain
310,Esperance,AU,-33.8667,121.9,68.77,51,33,15.26,scattered clouds
311,Tilichiki,RU,60.4667,166.1,44.89,97,100,2.64,light rain
312,Tiarei,PF,-17.5333,-149.3333,78.82,75,42,13.13,scattered clouds
313,Baherden,TM,38.4362,57.4316,91.22,16,0,19.33,clear sky
314,Ola,RU,59.5833,151.2833,59.14,91,100,7.63,overcast clouds
315,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,40,20,13.8,few clouds
316,Victor Harbor,AU,-35.5667,138.6167,63.0,78,100,1.99,overcast clouds
317,Sorong,ID,-0.8833,131.25,84.27,74,37,9.1,scattered clouds
318,Raudeberg,NO,61.9875,5.1352,48.87,91,100,16.06,overcast clouds
319,Uvinza,TZ,-5.1036,30.3911,61.81,54,24,4.54,few clouds
320,Zlitan,LY,32.4674,14.5687,70.66,73,0,9.1,clear sky
321,Lincoln,US,40.8,-96.667,77.13,63,0,4.61,clear sky
322,Caraballeda,VE,10.6112,-66.8522,75.27,94,75,3.44,drizzle
323,Aksarka,RU,66.5606,67.7975,70.11,69,83,13.44,light rain
324,Leningradskiy,RU,69.3833,178.4167,36.5,67,41,5.39,scattered clouds
325,Tekeli,KZ,44.83,78.8239,78.93,38,9,3.42,clear sky
326,Genhe,CN,50.7833,121.5167,72.46,44,62,6.26,broken clouds
327,Ornskoldsvik,SE,63.2909,18.7153,52.54,58,96,7.58,overcast clouds
328,Kukushtan,RU,57.6464,56.4952,60.42,95,95,12.53,overcast clouds
329,Jiazi,CN,22.8779,116.067,85.71,73,78,9.91,light rain
330,At-Bashi,KG,41.1702,75.8106,66.16,49,100,7.7,overcast clouds
331,Conceicao Da Barra,BR,-18.5933,-39.7322,67.73,93,2,2.3,clear sky
332,Bartica,GY,6.4,-58.6167,75.52,98,100,1.3,overcast clouds
333,Kulhudhuffushi,MV,6.6221,73.07,83.14,78,100,13.6,overcast clouds
334,Nizhniy Kuranakh,RU,58.8353,125.4869,80.56,46,13,9.69,few clouds
335,De Aar,ZA,-30.6497,24.0123,51.75,58,100,9.06,overcast clouds
336,Bellegarde-Sur-Valserine,FR,46.1079,5.8242,69.91,97,100,2.84,moderate rain
337,Saint-Georges,GD,12.0564,-61.7485,76.68,94,40,0.0,scattered clouds
338,Drummondville,CA,45.8834,-72.4824,63.52,85,98,3.31,overcast clouds
339,Plouzane,FR,48.3833,-4.6167,59.05,91,75,9.22,mist
340,Biak,ID,-0.9131,122.8766,80.67,79,100,9.62,overcast clouds
341,Port Lincoln,AU,-34.7333,135.8667,62.35,72,98,15.08,overcast clouds
342,Bonfim,BR,3.0833,-59.95,73.94,90,100,3.31,overcast clouds
343,Baoro,CF,5.6667,15.9667,65.28,98,91,1.66,overcast clouds
344,Nome,US,64.5011,-165.4064,44.67,93,100,19.57,light rain
345,Soyo,AO,-6.1349,12.3689,70.72,84,77,6.42,broken clouds
346,Ambilobe,MG,-13.2,49.05,74.77,62,50,3.69,scattered clouds
